No.,Stakeholders/ Themes/ Aspects,Weight,IsWeightSelectedByUser,Estimations,Points,MaxPoints,IsPositive
A,v5:full.A,1,FALSE,0,0,0,TRUE
A1,v5:full.A1,1,FALSE,0,0,0,TRUE
A1.1,v5:full.A11,1,FALSE,0,0,0,TRUE
A1.2,v5:full.A12,1,FALSE,0,0,0,FALSE
A2,v5:full.A2,1,FALSE,0,0,0,TRUE
A2.1,v5:full.A21,1,FALSE,0,0,0,TRUE
A2.2,v5:full.A22,1,FALSE,0,0,0,TRUE
A2.3,v5:full.A23,1,FALSE,0,0,0,FALSE
A3,v5:full.A3,1,FALSE,0,0,0,TRUE
A3.1,v5:full.A31,1,FALSE,0,0,0,TRUE
A3.2,v5:full.A32,1,FALSE,0,0,0,FALSE
A4,v5:full.A4,1,FALSE,0,0,0,TRUE
A4.1,v5:full.A41,1,FALSE,0,0,0,TRUE
A4.2,v5:full.A42,1,FALSE,0,0,0,TRUE
B,v5:full.B,1,FALSE,0,0,0,TRUE
B1,v5:full.B1,1,FALSE,0,0,0,TRUE
B1.1,v5:full.B11,1,FALSE,0,0,0,TRUE
B1.2,v5:full.B12,1,FALSE,0,0,0,TRUE
B1.3,v5:full.B13,1,FALSE,0,0,0,TRUE
B2,v5:full.B2,1,FALSE,0,0,0,TRUE
B2.1,v5:full.B21,1,FALSE,0,0,0,TRUE
B2.2,v5:full.B22,1,FALSE,0,0,0,FALSE
B3,v5:full.B3,1,FALSE,0,0,0,TRUE
B3.1,v5:full.B31,1,FALSE,0,0,0,TRUE
B3.2,v5:full.B32,1,FALSE,0,0,0,TRUE
B3.3,v5:full.B33,1,FALSE,0,0,0,FALSE
B4,v5:full.B4,1,FALSE,0,0,0,TRUE
B4.1,v5:full.B41,1,FALSE,0,0,0,TRUE
B4.2,v5:full.B42,1,FALSE,0,0,0,FALSE
C,v5:full.C,1,FALSE,0,0,0,TRUE
C1,v5:full.C1,1,FALSE,0,0,0,TRUE
C1.1,v5:full.C11,1,FALSE,0,0,0,TRUE
C1.2,v5:full.C12,1,FALSE,0,0,0,TRUE
C1.3,v5:full.C13,1,FALSE,0,0,0,TRUE
C1.4,v5:full.C14,1,FALSE,0,0,0,FALSE
C2,v5:full.C2,1,FALSE,0,0,0,TRUE
C2.1,v5:full.C21,1,FALSE,0,0,0,TRUE
C2.2,v5:full.C22,1,FALSE,0,0,0,TRUE
C2.3,v5:full.C23,1,FALSE,0,0,0,TRUE
C2.4,v5:full.C24,1,FALSE,0,0,0,FALSE
C3,v5:full.C3,1,FALSE,0,0,0,TRUE
C3.1,v5:full.C31,1,FALSE,0,0,0,TRUE
C3.2,v5:full.C32,1,FALSE,0,0,0,TRUE
C3.3,v5:full.C33,1,FALSE,0,0,0,TRUE
C3.4,v5:full.C34,1,FALSE,0,0,0,FALSE
C4,v5:full.C4,1,FALSE,0,0,0,TRUE
C4.1,v5:full.C41,1,FALSE,0,0,0,TRUE
C4.2,v5:full.C42,1,FALSE,0,0,0,TRUE
C4.3,v5:full.C43,1,FALSE,0,0,0,TRUE
C4.4,v5:full.C44,1,FALSE,0,0,0,FALSE
D,v5:full.D,1,FALSE,0,0,0,TRUE
D1,v5:full.D1,1,FALSE,0,0,0,TRUE
D1.1,v5:full.D11,1,FALSE,0,0,0,TRUE
D1.2,v5:full.D12,1,FALSE,0,0,0,TRUE
D1.3,v5:full.D13,1,FALSE,0,0,0,FALSE
D2,v5:full.D2,1,FALSE,0,0,0,TRUE
D2.1,v5:full.D21,1,FALSE,0,0,0,TRUE
D2.2,v5:full.D22,1,FALSE,0,0,0,TRUE
D2.3,v5:full.D23,1,FALSE,0,0,0,FALSE
D3,v5:full.D3,1,FALSE,0,0,0,TRUE
D3.1,v5:full.D31,1,FALSE,0,0,0,TRUE
D3.2,v5:full.D32,1,FALSE,0,0,0,TRUE
D3.3,v5:full.D33,1,FALSE,0,0,0,FALSE
D4,v5:full.D4,1,FALSE,0,0,0,TRUE
D4.1,v5:full.D41,1,FALSE,0,0,0,TRUE
D4.2,v5:full.D42,1,FALSE,0,0,0,TRUE
D4.3,v5:full.D43,1,FALSE,0,0,0,FALSE
E,v5:full.E,1,FALSE,0,0,0,TRUE
E1,v5:full.E1,1,FALSE,0,0,0,TRUE
E1.1,v5:full.E11,1,FALSE,0,0,0,TRUE
E1.2,v5:full.E12,1,FALSE,0,0,0,TRUE
E1.3,v5:full.E13,1,FALSE,0,0,0,FALSE
E2,v5:full.E2,1,FALSE,0,0,0,TRUE
E2.1,v5:full.E21,1,FALSE,0,0,0,TRUE
E2.2,v5:full.E22,1,FALSE,0,0,0,TRUE
E2.3,v5:full.E23,1,FALSE,0,0,0,FALSE
E2.4,v5:full.E24,1,FALSE,0,0,0,FALSE
E3,v5:full.E3,1,FALSE,0,0,0,TRUE
E3.1,v5:full.E31,1,FALSE,0,0,0,TRUE
E3.2,v5:full.E32,1,FALSE,0,0,0,TRUE
E3.3,v5:full.E33,1,FALSE,0,0,0,FALSE
E4,v5:full.E4,1,FALSE,0,0,0,TRUE
E4.1,v5:full.E41,1,FALSE,0,0,0,TRUE
E4.2,v5:full.E42,1,FALSE,0,0,0,TRUE
E4.3,v5:full.E43,1,FALSE,0,0,0,FALSE
