INDUSTRY WEIGHTING - COMMON GOOD MATRIX,,,,,,,,,,,,,,,,,
,INDUSTRY ,,,A1 -social risks in the Supply Chain,,A3 -ecological sustainability in the Supply Chain,,D3 - Ecological Design of products and services,,E3 -  Reduction of Environmental Impact,,"E4 - Social transparency and co-
determination",,A3 - Ecologicla Supply Chain Risk,,,This excel is unprotected. Do not use it for Audits or Consulting
,"(based UN International Standard Industrial Classification of All Economic Activities, Rev.4 -http://unstats.un.org/unsd/cr/registry/regcst.asp?Cl=27)",,,weighting,argumentation: based on the social risks in the industry,weighting,argumentation: based on ecological impact on the planterary boundaries in the supply cahin (studies and the use of quantitative models - e.g. ecological footprint - will be applied herefor),weighting,argumentation: based on the products / service impact on the planterary boundaries in the use phase (studies and the use of quantitative models - e.g. ecological footprint - will be applied herefor),weighting,argumentation: based on the sectors direct impact in the production phase on the planterary boundaries (studies and the use of quantitative models will be applied herefor); e.g. sehr hoch: The sector has a major impact of various planetary boundaries,weighting,"argumentation: the weighting is depending on the impact the industry has particularly on the adjacent environment
",,weighting,"argumentation: based on the sectors direct impact in the production phase on the planterary boundaries (studies and the use of quantitative models will be applied herefor)
sehr hoch: The sector has a major impact of various planetary boundaries",
A ,"A - agriculture, forestry management, fishing industry",,,sehr hoch,,,ist E3?,mittel,the main impacts are in the production phase,sehr hoch,"major direct impact on various planetary boundaries in the production (climate change, N/P-cycle, biodiversity, land-use-change) ",mittel,,,sehr hoch,,
B ,B - Mining and quarrying,,,sehr hoch,,,,mittel,,sehr hoch,major impact on eco-systems,sehr hoch,,,sehr hoch,,
C ,C - Manufacturing industries (not further specified),,,hoch,,,,mittel,,hoch,Please note: This industry is very heterogen. ,hoch,,,hoch,,
Ca,"Ca - Food production, drinks and tobacco (C10, C11, C12)",,,sehr hoch,,,,mittel,,mittel,,mittel,,,sehr hoch,,
Cb,"Cb - Textile production, clothing, leather and leather products (C13, C14, C15)",,,sehr hoch,,,,mittel,,hoch,,mittel,,,sehr hoch,,
Cc,"Cc - Paper and forest products, also printed matter (C16, C17, C18)",,,hoch,,,,mittel,,hoch,,mittel,,,sehr hoch,,
Cd,"Cd - Production of petrochemical products and plastics (C19, C20;C22)",,,sehr hoch,,,,mittel,,hoch,,hoch,,,sehr hoch,,
Ce,Ce - Pharmaceutical products and preparations (C21),,,mittel,,,,hoch,residues for some pharmaproducts critical,hoch,,hoch,,,hoch,,
Cf,Cf - Production of non-metallic minerals (C23),,,hoch,,,,mittel,,hoch,,hoch,,,hoch,,
Cg,"Cg - Production of metal and metallic products (excl. machines and equipment) (C24, C25)",,,sehr hoch,,,,mittel,,hoch,,hoch,,,sehr hoch,,
Ch,"Ch - Production of electronic equipment, instruments and components as well as computers (C26, C27, C28)",,,sehr hoch,,,,hoch,,hoch,,hoch,,,sehr hoch,,
D ,"D - Electric, Gas, Steam and Refrigeration",,,mittel,,,,mittel,,sehr hoch,major impact on climate change,hoch,,,sehr hoch,,
E ,"E - Water supply, waste management",,,mittel,,,,hoch,,hoch,,hoch,,,mittel,,
F ,F - Construction industry,,,sehr hoch,,,,sehr hoch,,sehr hoch,major impact on climate change (see d3) and impacting land-use-change,sehr hoch,,,sehr hoch,,
G ,G - Wholesale and retail,,,mittel,,,,sehr hoch,,mittel,,mittel,,,hoch,,
H ,H - Transport and warehousing,,,mittel,,,,mittel,,sehr hoch,,mittel,,,hoch,,
I ,I - Accommodation and catering,,,hoch,,,,mittel,,hoch,,mittel,,,hoch,,
J ,J - Information and Communication,,,mittel,,,,mittel,,hoch,,mittel,,,hoch,,
K ,K - Financial services,,,mittel,,,,sehr hoch,,mittel,,mittel,,,mittel,,
L ,L - Real estate,,,mittel,,,,sehr hoch,,mittel,,mittel,,,hoch,,
M ,"M - Professional, technical and scientific services",,,mittel,,,,mittel,,mittel,,mittel,,,mittel,,
N ,N - Administrative and support services,,,mittel,,,,mittel,,mittel,,mittel,,,mittel,,
O ,O - Public administration; defence; social security,,,mittel,,,,mittel,,mittel,,mittel,,,mittel,,
P ,P - Education,,,mittel,,,,mittel,,mittel,,mittel,,,mittel,,
Q ,Q - Health and social work,,,mittel,,,,mittel,,mittel,,mittel,,,mittel,,
R ,"R - Art, education and leisure",,,mittel,,,,mittel,,mittel,,mittel,,,mittel,,
S ,S - Other services,,,mittel,,,,mittel,,mittel,,mittel,,,mittel,,
T,Please enter,,,mittel,,,,mittel,,mittel,,mittel,,,mittel,,
U ,U - Extraterritorial organisations and bodies,,,mittel,,,,mittel,,mittel,,mittel,,,mittel,,
,,,,,,,,,,,,,,,,,
Pl,Branche 1,0 %,,,,,,mittel,1.00,mittel,1.00,,,,,,
Pl,Branche 2,0 %,,,,,,mittel,1.00,mittel,1.00,,,,,,
Pl,Branche 3,0 %,,,,,,mittel,1.00,mittel,1.00,,,,,,
,,100 %,,,,,,mittel,1.00,mittel,1.00,,,,,,
,,100 %,,,,,,,1.00,,1.00,,,,,,
,ÖKOLOGISCHE BRANCHENGEWICHTUNGEN,,,,,,,,mittel,,mittel,,,,,,
